,0,1
0,1.0,-3912.742263317108
1,1.0,-3911.093862593174
2,1.0,-3908.0974247455597
3,1.0,-3926.683192193508
4,1.0,-3917.4153839945793
5,1.0,-3927.824472129345
6,1.0,-3924.555634498596
7,1.0,-3919.159624516964
8,1.0,-3928.943800866604
9,1.0,-3926.2895842790604
10,1.0,-3918.078503847122
11,1.0,-3919.9316125512123
12,2.0,-65113.95770171354
13,2.0,-65096.538748390994
14,2.0,-65101.7662642466
15,2.0,-65113.83702946935
16,2.0,-65115.03072563541
17,2.0,-65101.243021651026
18,2.0,-65115.12567149546
19,2.0,-65094.872715552876
20,2.0,-65089.25613079571
21,2.0,-65079.451280819085
22,2.0,-65128.60442037783
23,2.0,-65086.330304124785
24,3.0,-2934.975323855877
25,3.0,-2934.3545820116997
26,3.0,-2926.0847531557083
27,3.0,-2931.581982553005
28,3.0,-2944.3676124811172
29,3.0,-2922.199914932251
30,3.0,-2919.3527420163155
31,3.0,-2915.972910106182
32,3.0,-2933.3421634435654
33,3.0,-2918.581777691841
34,3.0,-2917.437438249588
35,3.0,-2938.665145814419
36,4.0,-3919.9725135564804
37,4.0,-3922.4915047883987
38,4.0,-3924.7391288876534
39,4.0,-3931.4156951904297
40,4.0,-3930.4867076277733
41,4.0,-3928.005671441555
42,4.0,-3934.2179831266403
43,4.0,-3918.27152633667
44,4.0,-3931.8264459967613
45,4.0,-3908.745710194111
46,4.0,-3931.337284386158
47,4.0,-3921.541460096836
48,5.0,-79264.61164105046
49,5.0,-79281.76478440531
50,5.0,-79290.46394305443
51,5.0,-79270.36760052474
52,5.0,-79300.16168234154
53,5.0,-79267.93802261422
54,5.0,-79247.24202501631
55,5.0,-93190.69889988235
56,5.0,-79305.64978713164
57,5.0,-79305.1385454791
58,5.0,-79260.48058736307
59,5.0,-79269.83870276294
60,6.0,-94004.30259499079
61,6.0,-80147.6764408141
62,6.0,-94021.76719416262
63,6.0,-94005.36801808464
64,6.0,-94002.59957562877
65,6.0,-94024.85810783673
66,6.0,-94015.54871059119
67,6.0,-94013.49896451265
68,6.0,-80138.47593420907
69,6.0,-94053.24285717019
70,6.0,-94006.47608905873
71,6.0,-94022.4636891753
72,7.0,-92210.07408527083
73,7.0,-92234.84430616738
74,7.0,-92227.0428284234
75,7.0,-92244.30309662512
76,7.0,-92247.42140585544
77,7.0,-92233.10277555426
78,7.0,-92199.91917818939
79,7.0,-92248.20822078403
80,7.0,-92263.3733175214
81,7.0,-92219.71209269139
82,7.0,-92212.68306830026
83,7.0,-92203.50184717498
84,8.0,-5994.641162633896
85,8.0,-5986.72141212225
86,8.0,-5977.1570472717285
87,8.0,-6007.146330952644
88,8.0,-5974.7776319384575
89,8.0,-5979.35776668787
90,8.0,-5974.081209778786
91,8.0,-5983.5726382136345
92,8.0,-5972.424081146717
93,8.0,-5977.327945113182
94,8.0,-5987.443817734718
95,8.0,-5970.991314828396
96,9.0,-7789.894257426262
97,9.0,-7792.851163983345
98,9.0,-7812.529624938965
99,9.0,-7800.789283156395
100,9.0,-7814.733060538769
101,9.0,-7818.431839287281
102,9.0,-7793.45870667696
103,9.0,-7832.275696337223
104,9.0,-7815.274492144585
105,9.0,-7821.3009195923805
106,9.0,-7790.4864802360535
107,9.0,-7840.691896021366
108,10.0,-7389.234888792038
109,10.0,-7380.7663261294365
110,10.0,-7366.7520352602005
111,10.0,-7385.933440864086
112,10.0,-7380.595248579979
113,10.0,-7370.384025216103
114,10.0,-7367.714018464088
115,10.0,-7393.809910356998
116,10.0,-7388.3712121248245
117,10.0,-7363.439515173435
118,10.0,-7398.6688759326935
119,10.0,-7385.383799910545
120,11.0,-7411.528030574322
121,11.0,-7379.743432641029
122,11.0,-7370.311846077442
123,11.0,-7422.941910862923
124,11.0,-7396.948060929775
125,11.0,-7381.080406546593
126,11.0,-7391.583955824375
127,11.0,-7391.0817613601685
128,11.0,-7394.847659707069
129,11.0,-7397.312695622444
130,11.0,-7371.230263948441
131,11.0,-7384.881906747818
132,12.0,-6394.577114522457
