,0,1
0,1.0,-3943.7024074196815
1,1.0,-3946.337009012699
2,1.0,-3956.9424715042114
3,1.0,-3944.9806230664253
4,1.0,-3945.6006755828857
5,1.0,-3930.515732705593
6,1.0,-3947.6835700273514
7,1.0,-3938.4591465592384
8,1.0,-3946.8678700327873
9,1.0,-3953.1737952828407
10,1.0,-3933.7650822997093
11,1.0,-3942.9898973703384
12,2.0,-65097.864020228386
13,2.0,-65109.989079892635
14,2.0,-65100.55436557531
15,2.0,-65120.43505525589
16,2.0,-65128.88968026638
17,2.0,-65122.69769823551
18,2.0,-65104.426298201084
19,2.0,-65107.36260718107
20,2.0,-65113.894723415375
21,2.0,-65116.82045763731
22,2.0,-65123.700099051
23,2.0,-65102.94424301386
24,3.0,-2946.1354090571404
25,3.0,-2972.667427241802
26,3.0,-2958.81845253706
27,3.0,-2941.647788167
28,3.0,-2967.7161257267
29,3.0,-2956.389258980751
30,3.0,-2960.070530951023
31,3.0,-2956.6038276553154
32,3.0,-2968.8635506033897
33,3.0,-2965.899754345417
34,3.0,-2960.888635098934
35,3.0,-2957.547417163849
36,4.0,-3943.200596511364
37,4.0,-3943.7498136758804
38,4.0,-3956.695564329624
39,4.0,-3951.2776103019714
40,4.0,-3935.743283867836
41,4.0,-3953.9122834205627
42,4.0,-3949.04669547081
43,4.0,-3954.6105428934097
44,4.0,-3936.4243646860123
45,4.0,-3943.174824953079
46,4.0,-3959.4309365153313
47,4.0,-3935.493947505951
48,5.0,-79325.19391024113
49,5.0,-79312.42045247555
50,5.0,-79308.06400352716
51,5.0,-79312.28639060259
52,5.0,-79300.16250008345
53,5.0,-79316.25486546755
54,5.0,-79295.48524612188
55,5.0,-79287.68180930614
56,5.0,-79323.61022675037
57,5.0,-79272.63059997559
58,5.0,-79306.4175927043
59,5.0,-79318.21049326658
60,6.0,-94025.57376670837
61,6.0,-94034.603038311
62,6.0,-94024.48926019669
63,6.0,-94057.38533455133
64,6.0,-93998.20473629236
65,6.0,-94046.49548846483
66,6.0,-94049.58070623875
67,6.0,-94031.56124967337
68,6.0,-94031.76325190067
69,6.0,-94040.02887862921
70,6.0,-94036.85526448488
71,6.0,-94031.3639395237
72,7.0,-92207.46589630842
73,7.0,-92237.53550887108
74,7.0,-92248.44861149788
75,7.0,-92228.52111339569
76,7.0,-92246.3513571024
77,7.0,-92249.8533153534
78,7.0,-92237.54957199097
79,7.0,-92237.42342233658
80,7.0,-92221.99789017439
81,7.0,-92240.44887512922
82,7.0,-92233.45640867949
83,7.0,-92235.25077283382
84,8.0,-6036.95210236311
85,8.0,-6042.141745865345
86,8.0,-6056.584324717522
87,8.0,-6033.792428851128
88,8.0,-6036.028436303139
89,8.0,-6029.983007192612
90,8.0,-6034.195722222328
91,8.0,-6033.607097148895
92,8.0,-6041.518720567226
93,8.0,-6036.334628343582
94,8.0,-6031.296022713184
95,8.0,-6054.67022973299
96,9.0,-7838.137164354324
97,9.0,-7862.622766137123
98,9.0,-7852.300215005875
99,9.0,-7856.188554406166
100,9.0,-7832.436683416367
101,9.0,-7865.961671113968
102,9.0,-7855.591289937496
103,9.0,-7856.195016741753
104,9.0,-7860.5771946311
105,9.0,-7863.273765087128
106,9.0,-7862.147539496422
107,9.0,-7840.466008424759
108,10.0,-7440.6610208153725
109,10.0,-7435.051135957241
110,10.0,-7423.430662989616
111,10.0,-7434.219913125038
112,10.0,-7435.30133420229
113,10.0,-7445.798155605793
114,10.0,-7435.135169565678
115,10.0,-7457.676750957966
116,10.0,-7424.54001390934
117,10.0,-7433.528758823872
118,10.0,-7418.909672737122
119,10.0,-7409.653016269207
120,11.0,-7426.306797504425
121,11.0,-7439.499913096428
